1,Columbia Blue Dot,BD,Columbia 300,Plastic,Pancake,Silver,Pearl,?,1992,2B21969,15,?
1,NU Blue Hammer,NUB,Hammer,Not Urethane,Symmetric,Solid,Blue,?,2024,MR721071,15,?
1,Purple Pearl Reactive Hammer,PPR,Hammer,Reactive,Symmetric,Pearl,Purple,?,?,?,15,?
1,Red Pearl Hammer,RPH,Hammer,Urethane,Symmetric,Pearl,Red,?,1991,1B027818,15,?
1,Scorpion Low-Flare Hammer,SLF,Hammer,Reactive,Symmetric,Solid,Orange/Black,?,?,?,15,?
1,Storm IQ Tour 78/U,IQTU,Storm,Urethane,C3 Symmetrical,Solid,Red,?,2023,23VLLK101034,15,?
1,Storm IQ Tour Ruby,IQTR,Storm,Reactive,C3 Symmetrical,Pearl,Red,?,2024,24VQBH15C030,15,?
