1,Long Name,Short Name,Address,Phone,Lanes,Type
1,Suburban Bowlerama,SB,1948 S. Queen St  York  PA  17403,(717) 848-1632,30,Brunswick
1,Colony Park North,CPN,1900 Pennsylvania Ave  York PA  17404,(717) 848-6262,28,Brunswick
1,East Lincoln Lanes,ELL,5761 Lincoln Hiway  York PA  17406,(717) 252-3211,18,AMF
1,Lazer Alleys,LA,3905 E. Market St  York  PA  17402,(717) 755-2946,24,???
1,Hanover Bowling Center,HBC,"1630 Broadway, Hanover  PA  17331",(717) 632-2695,40,???
1,Lion Bowl,LB,"90 Martin St, Red Lion PA 17356",(717) 244-6215,12,AMF
